Subject	Task	Condition	WPM	Accuracy	Errors	Time
10	6	VR_Hands	52.0	1.0	0	29.194401
10	7	VR_Hands	50.0	1.0	0	31.783906
10	8	VR_Hands	61.0	1.0	0	25.211536
10	9	VR_Hands	53.0	1.0	0	31.686895
10	10	VR_Hands	55.0	0.983471	2	24.042644
11	1	VR_Hands	46.0	0.989796	1	24.361149
11	2	VR_Hands	52.0	0.991228	1	25.031021
11	3	VR_Hands	53.0	1.0	0	26.131281
11	4	VR_Hands	63.0	1.0	0	22.133226
11	5	VR_Hands	58.0	1.0	0	25.198283
11	6	VR_Hands	52.0	1.0	0	29.194401
11	7	VR_Hands	50.0	1.0	0	31.783906
11	8	VR_Hands	61.0	1.0	0	25.211536
11	9	VR_Hands	53.0	1.0	0	31.686895
11	10	VR_Hands	55.0	0.983471	2	24.042644
11	1	VR_Hands	17.0	1.0	0	67.207327
11	2	VR_Hands	0.0	0.692982	35	56.931198
11	3	VR_Hands	2.0	0.810345	22	36.032908
11	4	VR_Hands	14.0	0.862069	16	30.783261
11	5	VR_Hands	58.0	0.991803	1	24.30984
11	6	VR_Hands	27.0	0.984252	2	51.126374
11	7	VR_Hands	39.0	0.984962	2	37.787321
11	8	VR_Hands	32.0	0.9375	8	32.66317
11	9	VR_Hands	47.0	0.985714	2	33.039576
11	10	VR_Hands	59.0	0.991736	1	23.544082
12	1	VR_Hands	17.0	1.0	0	67.207327
12	2	VR_Hands	0.0	0.692982	35	56.931198
12	3	VR_Hands	2.0	0.810345	22	36.032908
12	4	VR_Hands	14.0	0.862069	16	30.783261
12	5	VR_Hands	58.0	0.991803	1	24.30984
12	6	VR_Hands	27.0	0.984252	2	51.126374
12	7	VR_Hands	39.0	0.984962	2	37.787321
12	8	VR_Hands	32.0	0.9375	8	32.66317
12	9	VR_Hands	47.0	0.985714	2	33.039576
12	10	VR_Hands	59.0	0.991736	1	23.544082
12	1	VR_Hands	0.0	0.295918	69	177.871258
12	2	VR_Hands	0.0	0.22807	88	167.069336
12	3	VR_Hands	0.0	0.344828	76	208.167867
12	4	VR_Hands	0.0	0.318966	79	126.416637
12	5	VR_Hands	0.0	0.47541	64	179.858056
12	6	VR_Hands	0.0	0.125984	111	97.759663
12	7	VR_Hands	0.0	0.112782	118	151.102585
12	8	VR_Hands	0.0	0.210938	101	162.723556
